"Time","export","urban","gdp","population_0.14","population_15_64","population_65","trade","trade_service"
1983,17.92147046,40.46114026,5944.082491,34.63929525,59.56944,5.791264747,36.16810812,7.028979088
1984,18.25563611,40.81625635,6113.50132,34.33021337,59.87379484,5.79599179,37.49048942,6.905060713
1985,17.65827921,41.17462387,6229.499907,34.03842564,60.13796408,5.823610281,37.0417568,6.753527699
1986,16.7460948,41.53868125,6317.665019,33.77277173,60.3645273,5.862700965,34.5780303,6.808302901
1987,17.4203702,41.90589438,6438.329349,33.55138167,60.54305085,5.905567479,35.84927484,7.05905489
1988,17.92989355,42.27248213,6612.636995,33.35035122,60.69477814,5.954870643,37.67867171,7.119820704
1989,18.54932272,42.62939458,6739.72204,33.17227684,60.81510338,6.012619778,38.05521927,7.2945373
1990,18.85000862,42.98651057,6803.469235,33.03579908,60.89120567,6.072995253,38.06490486,7.713468888
1991,18.76279199,43.34815782,6771.78886,32.88387372,60.97822587,6.137900417,37.93992028,7.868758635
1992,19.85974072,43.70880091,6796.943849,32.71285388,61.07663394,6.210512185,40.81961328,8.206618102
1993,18.94753344,44.06390068,6813.00428,32.5349106,61.17570359,6.289385802,40.34674744,8.286003503
1994,19.50338455,44.42184516,6933.472216,32.32027683,61.30618515,6.373538022,41.28496838,8.225324653
1995,20.68934195,44.77759468,7041.510878,32.06623729,61.47954389,6.454218819,43.10133012,8.463396918
1996,21.13171545,45.12861325,7185.89247,31.78401002,61.68718253,6.528807444,43.23598508,7.824758599
1997,22.00634047,45.48416756,7361.435976,31.4570066,61.93717924,6.605814155,45.07551148,8.249881584
1998,21.82238846,45.84740444,7462.647577,31.10513686,62.21233238,6.682530763,45.55809846,8.531398011
1999,21.91494935,46.21572915,7623.193376,30.75101279,62.49177445,6.757212756,46.02075617,8.898248704
2000,23.50673375,46.59472801,7860.786849,30.38698276,62.77758543,6.83543181,50.42480447,9.235398068
2001,22.91094733,47.03913259,7913.758998,30.00839299,63.07169057,6.91991644,49.29696906,9.362872906
2002,23.16140956,47.53007835,7991.612139,29.61530109,63.37629189,7.00840702,49.34772781,9.771553052
2003,23.90793147,48.02404379,8133.26788,29.22965423,63.67499548,7.09535029,51.02524071,9.762828263
2004,25.77141782,48.52424911,8388.57164,28.84952613,63.97250467,7.177969203,54.6041811,10.49476146
2005,27.046618,49.02832919,8615.669704,28.46905405,64.27239161,7.25855434,56.64536814,11.03974543
2006,28.70212133,49.52362101,8886.35781,28.1345721,64.52767355,7.337754344,58.80551528,11.45140932
2007,29.63859898,50.00870217,9158.834796,27.86681766,64.72543013,7.407752206,59.19162127,12.07778355
2008,30.80840496,50.506954,9229.519874,27.64570129,64.88975829,7.464540422,60.81636292,12.43403594
2009,26.23734172,50.9971116,8992.399915,27.45941271,65.02208484,7.518502446,52.30667986,11.75578853
2010,28.55074232,51.47657417,9285.12471,27.28810315,65.13366302,7.578233835,56.6635175,11.78937419
2011,30.34362221,51.92134399,9479.092595,27.1331299,65.20602762,7.660842471,59.78374908,11.91292454
2012,30.1279022,52.36180092,9612.700302,26.99874085,65.21885593,7.782403223,59.59930106,12.04498121
2013,30.11655291,52.81495489,9767.040723,26.88066171,65.19849324,7.920845051,58.89069232,12.47109433
2014,29.76989092,53.26993211,9951.540424,26.76523167,65.15694391,8.077824423,58.28267303,12.99924106
2015,28.15151214,53.73475231,10142.14348,26.63468042,65.10744246,8.257877124,55.91200582,13.16787312
2016,27.19703254,54.1955309,10306.94422,26.49604585,65.05561361,8.448340541,54.11407757,13.12587489
2017,28.13483072,54.64668915,10542.82367,26.365029,64.98053364,8.654437359,55.83483821,13.41449425
2018,29.01575751,55.08854863,10772.30836,26.2151434,64.90957297,8.875283632,57.35242779,13.73324804
2019,28.1360312,55.52620966,10946.228,26.03773486,64.85845812,9.103807021,56.11888744,13.96263485
2020,26.21528464,55.96465874,10523.92109,25.83010043,64.83760625,9.33229332,52.22613823,11.94875073
2021,28.76172006,56.37615077,11100.2937,25.60610613,64.86650678,9.527387093,57.0687709,12.32171894
